r2_value,function_coefficient,decay_coefficient,sig_wave_height,r26,y10
0.9782941430255979,57730.55922465028,-1.09807995421141,1.3,3134.375,2.7475
0.9842843516761763,65982.16529240829,-1.1982081628770604,1.33,2658.625,3.1374999999999997
0.9796854770196646,66752.72787339085,-1.2131866565828917,1.37,2440.8750000000005,2.94375
0.9907620273511998,129205.73563273929,-1.1897456953010586,1.5,5094.0,0.0
0.9704169952048766,122007.14889684715,-1.1776626528582743,1.54,4698.0,15.4125
0.9840966124083539,71605.60405565228,-1.0461694954422434,1.55,4292.083333333333,7.240000000000001
0.9942045056581894,120565.95578937692,-1.0904913872265933,1.56,6202.5,26.29375
0.9928547426046458,120917.03347357828,-1.2684199804078344,1.61,3757.5,0.0
0.9832548821530015,145997.0802250075,-1.0758437858919685,1.62,7652.5,34.9525
0.9893920677881637,164050.44980586946,-1.037822777535702,1.65,8966.25,20.72625
0.9600640986498792,115048.51843150219,-1.2867896169008894,1.66,3159.875,0.0
0.9767339246457855,159993.49006237593,-1.067482808150299,1.75,9295.0,0.0
0.991525703168788,139941.89854131482,-1.1247330495687151,1.7700000000000002,6028.166666666667,13.183333333333334
0.9777402107455478,182397.1651386403,-1.0342461972441324,1.83,11045.0,41.083749999999995
0.989752624065543,138935.78244709474,-1.0167707169940419,1.85,7856.25,44.725
0.9626792652074727,129901.43037673694,-0.9189027183775381,2.01,10062.175,117.9
0.9688549354408478,198654.30788530593,-1.0201326786118472,2.1,10364.3,0.0
0.9588474434289005,150232.15444663126,-0.9986802104686788,2.19,9037.199999999999,71.391
0.9907899796000093,237138.7119838393,-1.0095815632692153,2.22,13863.333333333332,28.84166666666666
0.9911908257826327,263979.59648530267,-0.9831280622175015,2.25,16086.666666666668,79.92833333333334
0.9699792745846351,325022.35842548206,-1.1068643664934887,2.31,14676.666666666668,11.323333333333334
0.9921204689455703,115581.72500025322,-0.8545342323109859,2.32,9778.75,117.6175
0.9870476894445582,208451.40886189012,-0.8811454466614114,2.83,15326.666666666668,121.7516666666667
0.976700628192787,270959.37616756075,-0.9120437852851466,2.92,18060.0,111.455
0.9768225438192578,171842.91225454985,-0.8173324737388117,2.94,15518.333333333332,245.355
