alt_bin1,alt_bin2,alt_bin3,alt_bin4,samp_day,date
139.66666666666666,251.5,,,1,2018-12-05 00:00:00
122.0,237.0,,,2,2019-01-01 00:00:00
148.0,288.0,452.5,,3,2019-04-13 00:00:00
136.0,289.5,444.0,,4,2019-04-23 00:00:00
198.0,362.0,,,6,2019-06-16 00:00:00
166.0,304.3333333333333,453.6666666666667,,7,2019-07-31 00:00:00
144.66666666666666,289.8,364.0,,8,2019-08-15 00:00:00
173.0,326.6666666666667,449.1666666666667,,9,2019-08-20 00:00:00
153.66666666666666,306.0,458.6666666666667,624.3333333333334,10,2019-08-22 00:00:00
153.0,311.3333333333333,464.5,626.6666666666666,11,2019-09-10 00:00:00
